# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
1.025032315919884418e+00 4.385251139932166420e-01 -8.636659302283993256e-01 1.927782325739088520e+01 4.156922851684969444e+00 1.045503370892951978e+00
-1.813148837206979280e-01 -4.143314529439153793e-01 -8.200138912483938558e-01 1.912857550246621408e+00 2.138175202803705766e+00 -1.416211258757671487e+01
-4.467973170265329697e-01 -3.177185535255773463e-02 1.946292249067248514e+00 2.900003740282308229e+00 4.268837652922069736e+00 8.980714886474926217e+00
9.144112543932563231e-01 -2.343331019168096163e-01 -2.062881734143501844e-01 -4.712883941424178547e-01 -4.000595552303072289e+00 -1.998127152974497056e+00
-3.100840179094609961e-01 -4.012098899031172339e-01 1.257319371017745047e+00 -1.081881564045142419e+01 2.067476298297128778e+01 -4.328080849788856099e+00
-1.709382592977102489e+00 -4.698611030217708096e-01 -6.901088545283819986e-01 -7.076956961281986480e+00 -7.270790520922046696e+00 -1.578038517626225534e+01
3.222287327329911300e-01 -7.952715517571849746e-02 9.611126784394556644e-02 -3.262256025395251502e+00 -1.479743490899607217e+01 -7.681347714237739766e+00
1.045302133438564818e-01 6.346952490904862465e-01 6.797135362846745688e-01 -3.809124511114041045e+00 2.019088737912035469e+00 -4.460648165019557299e-01
-5.932123161652766541e+00 -9.714535802269169684e-01 1.215303177859873296e+00 -3.695295818279620281e+00 -8.913780225274280156e+00 -7.227952123806723472e-01
7.073071090482573320e-01 1.060020400545530261e+00 3.788345359090773690e-02 5.548774830144362014e+00 -3.525333441207677776e+00 -8.537521053403128724e-01
2.124397788627884864e+00 -2.065935620022868235e+00 -3.208127707669371498e-01 -1.738425109663965351e+00 -2.027330697440381080e+00 2.253859351537257805e+00
-3.736635400052937955e-02 3.519153095854947733e-01 -8.056150578073985047e-01 -7.952446009471795030e+00 1.387814356286282802e+00 1.171318841205206773e+01
-4.044198818353617608e-01 -1.117170321124743848e-01 7.790250376103416974e-01 -5.487503233673014513e+00 -5.130123590426873825e+00 -3.750869814266772018e+00
