# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
3.931749778132297979e-01 -1.914876024331289006e+00 6.971962535911216285e+00 -9.697086822420581953e+00 5.609093121266863768e+00 -5.987526920067989700e+00
5.705499071494097851e-01 -9.413509998875491114e-02 -1.049667651638720001e+00 -2.252693016628288802e+00 2.846887681311196516e+00 2.330049026745800589e+01
-3.124024033587574078e-01 -9.433641167110605741e-01 -7.141496371668422383e-02 9.541161342578055482e+00 -1.800221874533761923e+00 2.047839692418576263e+01
3.496291775976402283e-01 6.090958456831175871e-01 -8.103520733848787461e-02 1.940280528242007918e+01 4.972441997028776761e+00 1.665764351549057665e+01
-4.727165907363987118e-01 -9.155924529598337136e-01 -3.786828024134074600e+00 -1.372241549195450361e+01 -1.333522702584972919e+01 -1.208100745830117795e+01
-9.012253415595530281e-01 -3.302876611505495830e-01 -9.220605714340796011e-01 1.465477356450302437e+01 -1.811027471154214918e+00 2.120083538277943269e+00
9.136662837615061594e-01 7.968234361845899727e+00 4.954301919324343828e+00 8.606123709561588342e+00 -6.220662001073236524e+00 5.763641541876476815e+00
-6.290599533695717671e-01 -7.791780618663916025e-01 1.045415282465139040e+00 1.450916584499205975e+01 -2.110338185670336930e+00 4.945293615124546349e-02
-1.293632461124219590e+00 -1.055539114360060760e+00 -1.201524316139158888e+00 1.545604431798157918e+01 7.080830738807184943e+00 3.321203696043939857e+01
1.339779684397567561e+00 -2.252633322769830859e-01 -1.074109168374818069e+00 -9.823977730378015139e+00 -5.003737824223800423e+00 8.333078936784618307e+00
-4.110589109144480724e-01 2.097572504334572319e+00 -3.037537003502977506e-01 2.157754295591953309e+01 4.695826022898586416e+00 2.568959927122200781e+01
-2.141976593251058603e+00 -2.256733054089150523e-02 -7.224935254976729837e-01 -1.868191934723996184e+01 7.361705269673733731e+00 -7.406677932712177004e+00
5.779565158702152372e-01 -1.863769172984956479e-01 3.214293514689128134e-02 -2.725139800214488872e+01 -7.486568355034624034e-01 3.516145006688570618e+01
1.947923186956266539e+00 3.091162435121473373e-01 -1.520577776282320048e+00 -9.537696623062776879e-01 7.884662598575403081e+00 -1.413666534902445271e+01
7.991102152696054339e-02 -2.511382506038346007e-01 -2.148689424972792250e-01 -5.274779377057129182e+01 2.485581845148386293e+01 2.164064420210415562e+00
-1.200830422519172158e+00 2.375094268946882359e-01 -2.840894773050499089e-01 -9.003281203723943804e+00 5.272975628030157402e+00 4.580958941581013022e+00
-1.236861807097664190e-01 7.473145763879626147e-01 4.179128633726670317e-01 9.794053516169373808e+00 2.754779739875295519e+01 -1.862463893940235238e+01
1.559576640087928068e+00 -1.545006424664584488e+00 2.039070568249756299e+00 -2.573126416168461716e+00 -8.801188883102947003e+00 1.424077071222376567e+01
-2.448507068940668052e+00 4.991494565530960603e-01 1.403402318545598604e+00 8.910701241606705736e+00 -8.994936601806227117e+00 -1.811038973222451176e+01
3.728951406428660520e-01 -9.653612235068083081e-01 9.358005571189365046e-01 2.510334467951072313e+01 9.306639137453593946e-01 6.856720954752796970e+00
-1.800475229217308459e-01 -2.910431829964432282e+00 -1.079198351126675393e+00 9.872012493670094813e+00 -1.703266093780715806e+01 2.408218462745270294e+00
-7.860194793639020405e-01 1.222523994847479978e+00 -8.366085713499575582e-02 1.654006102191613081e+01 2.866144648326192623e+01 1.207596268875134093e+01
-6.994480363053590111e-02 -7.344815089681776543e-01 3.664179611823514815e-01 -1.331004736024765123e+01 -6.509415363440792746e+00 -1.896248028998754442e+00
2.341986774488941325e+00 7.694011827932609737e-01 -1.970774511591106393e+00 -1.562767453673947493e+01 -3.200821026771971844e+01 7.464747231938240191e-01
-3.656662062179268438e-03 -4.803997329472091127e-01 8.779387840239172291e-01 -1.146196918722877811e+01 6.512710764429366250e+00 -2.200215502737876250e+01
8.754097142226082706e-01 4.263818137254872243e-01 -5.526654917678476275e-01 -3.777194279502801066e+00 8.990482716299976751e-01 -2.880783825370455276e+01
1.622626939374311794e+00 -4.057194273151471520e-01 -8.244715740348504962e-01 -2.203461718506410350e+01 -1.618261516634535369e+01 1.406444544160219934e+01
2.239797116618254424e+00 -2.313537538123914494e+00 -2.010326937543435832e+00 5.941239213998217750e+00 6.908838392927219019e+00 -9.211540789578416266e+00
2.504652657835182983e-01 -1.641968163441127337e-01 8.284773854607587751e-01 -2.020407097203865021e+01 9.615962043479335364e+00 -2.064269498299235117e+00
-2.600970548111812275e-01 -2.268042919148710937e-02 -1.212086435979039534e+00 2.336086630151549670e+01 -4.173907532979013624e+00 1.017537870829500690e+01
-5.176506065899053599e-01 -4.298536707672379609e-01 -7.465133563122229310e-01 -1.975430205169805831e-01 -1.342119912182535479e+01 -1.107595440978004753e+01
2.136236194099767172e+00 1.954405665185052321e+00 -3.183931769344024776e+00 2.112020576574160913e+01 -5.798425193860738958e-01 -7.344377258507258865e+00
6.520644716308837685e-01 -6.605940311501801165e-02 2.606741628824720269e-01 1.227288972947619250e+01 -1.401866215098943513e+01 -1.808788150074873258e+00
-4.635347978369926819e-02 -1.904018252895365304e+00 6.549932248642029720e-01 2.125017604622108180e+01 2.872065307970768089e+01 -3.282474472783335706e+00
-1.020433811022957826e+00 -3.336312618417691112e-01 7.330477309120817520e-01 -4.548217777441855070e+00 -4.927131380323153675e-01 -8.865473119348523667e+00
-1.821111386519771225e+00 -1.743041637423187185e+00 3.105627505253930609e-01 4.929046622351229701e+00 -2.345556324508403012e+00 1.393577400078390482e+01
