# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
-4.536702546636778854e-01 -3.881216445021244965e-01 6.589578279869615085e-02 -1.688516370704048697e+00 7.997740609659949484e+00 -7.881863027348639861e+00
1.003310147038010358e+00 8.841725919017470736e-02 2.997591775879911852e-02 7.006912817024293361e+00 -5.050949161649931796e+00 -1.433793128759127100e+01
-7.385589600305734193e-01 -5.585802003760267365e-01 3.690018936823604712e-01 -7.066563291410667524e+00 1.194463073820802634e+01 5.431743716647895681e+00
2.723968493249390721e-01 8.118392383712383920e-01 2.237704353083397046e-01 -8.693956789953887210e+00 1.646349149891602792e+01 -5.495092247901723681e+00
-4.180427061424110691e-01 1.097176472429183702e+00 5.167558470317122898e-01 -4.467432403730937196e+00 -1.043415567504983876e-01 -7.478717024782469913e+00
7.685731847858008337e-01 1.636730057076269729e+00 4.246495115749445159e-01 -3.243916653868589961e+00 1.089587358131058359e+01 8.587866457394868203e-01
6.266407027475777713e-01 -7.116720300578425196e-01 3.232792058568164095e-01 -8.603110508477261220e+00 1.549829168577768002e+01 1.265943838901025131e+00
-2.107845546156782435e-01 -3.747300699177240624e-01 -3.196302644649797187e-01 -7.250117445937167560e+00 -1.149551029847465600e+00 -1.866711770231793821e+01
-1.501425412604270981e+00 -3.465198338433658765e-01 9.004851500312793799e-02 8.035978073838931479e+00 -1.054903761117814653e+01 -1.002491241860958837e+01
-3.740815201963877401e-01 2.585537587307122909e-01 -2.827185958827826973e-01 3.287670565329940509e+00 9.652314477243203683e+00 3.194068075126693884e+00
-2.170945211939978303e-01 1.802594907519731449e-01 7.367639162184669299e-01 -2.349413960198034168e+00 5.973922870642462080e+00 -8.580388688615613546e+00
1.936014356986749396e-01 -2.557381980289630610e-02 -7.803763195482219528e-01 -5.935987271653795361e+00 4.353389946331224891e+00 3.654642115931580726e+00
-2.132634370222611098e-01 -4.905158614038128695e-01 -5.697003322399554204e-01 -2.047038039789758734e+00 -1.091797712588651059e+01 -1.470966680489861389e+01
2.941251316613094247e+00 6.799009907828168497e-01 2.103084790251454006e+00 -7.186800156966883790e+00 3.455225984426843588e+00 5.090011665612787617e+00
5.978786135414773106e-01 -2.416783949281147148e+00 -1.714127414507013447e-01 -9.868908955513774117e+00 -2.814130670040165594e+00 -4.482192767723254256e+00
-1.123807922324562725e+00 7.138798168557139445e-02 -3.058963085400408510e-01 -2.785418942369618733e+00 -6.701596429530173538e+00 4.241351624494247297e-01
1.902267149206672503e+00 8.867579667870983950e-01 3.235914376907474965e-01 -1.042888378183058862e+01 -7.102771550703890213e-02 1.864308867471212272e+00
7.562164997461896521e-01 -3.524161160850728391e-01 -1.267037601549933834e+00 4.455774532089629147e+00 -8.202291150975099754e+00 9.504787935713036262e+00
2.564327674259781267e-02 4.828812084246208447e-01 5.472663349717934445e-01 5.287386616168226361e+00 -1.590212753338953888e+01 -1.544212364233513846e+01
-5.343351111562577582e-01 4.820009589993293209e-01 1.089928551614101959e+00 1.270897876977624996e+01 -1.202432339962840047e+00 9.927030444822268151e+00
-1.467340049227802180e-02 5.353308969334368284e-01 5.462948295760764461e-01 3.305466999244402793e+00 5.442500985513400558e+00 -1.515691302375193317e+01
-4.631440808481742666e-01 5.244819704482803768e-01 -6.572741000729023786e-02 -3.975892754464445566e+00 8.054715995329440048e+00 8.680696941628212926e+00
-1.866368950023487294e-01 4.519886389311402741e-01 5.016807087257751929e-01 -1.737771433605430715e+01 1.551470908335170096e+00 -4.778335544066168339e+00
1.014165202396908327e+00 2.079604154772101143e+00 2.233399309026150026e-01 3.684108167772447207e+00 1.583170492775454852e+00 -4.113499552540427762e-01
7.680600737244104304e-01 -2.955001574509042439e-01 1.247548550431754055e-01 -5.066470417863118136e+00 -7.801317444628996789e+00 7.238625518764312261e-01
-9.611630044347838631e-01 2.124324983476452378e+00 -2.584709677314223075e+00 7.108101185572300196e+00 -1.715512651846610392e+00 6.442188284315483848e+00
-7.354694079659674921e-01 -1.070228829267831777e-01 -7.480605219108581172e-02 -6.488502812850932555e-02 -7.829172052192417297e+00 9.818279764654731068e+00
3.106686087835354715e-01 8.943926360271940712e-02 -3.770459466195690279e-01 1.267316106069414872e+01 -6.293405048637860766e+00 -1.729217912660365286e+00
2.621483323425025436e+00 -7.410569188802917928e-02 2.623104832651970697e-01 -3.437927712587713458e+00 4.293267533138830139e+00 8.102993527628440162e+00
7.243593684955444978e-01 -8.276142362984767464e-01 -7.080015404892660014e-01 -1.191443182271210155e+01 -1.032460146942850265e+01 1.249649627101717719e+01
